Date,Close
3/3/15,83.91
3/4/15,83.15
3/5/15,82.9
3/6/15,81.52
3/7/15,82.48
3/8/15,81.26
3/9/15,81.07
3/10/15,82.8
3/11/15,82.08
3/12/15,83.49
3/13/15,82.44
3/14/15,83.23
3/15/15,84.31
3/16/15,84.04
3/17/15,84.27
3/18/15,82.25
3/19/15,79.79
3/20/15,80.58
3/21/15,80.82
3/22/15,81.5
3/23/15,80.32
3/24/15,80.33
3/25/15,80.15
3/26/15,80.28
3/27/15,79.15
3/28/15,80.19
3/29/15,80.22
3/30/15,80.32
3/31/15,80.21
4/1/15,79.26
4/2/15,78.96
4/3/15,78.51
4/4/15,77.64
4/5/15,79.77
4/6/15,80.47
4/7/15,80.79
4/8/15,81.35
4/9/15,81.84
4/10/15,81.37
4/11/15,81.32
4/12/15,83.87
4/13/15,80.05
4/14/15,80.97
4/15/15,80.51
4/16/15,78.21
4/17/15,78.82
4/18/15,78.48
4/19/15,80.3
4/20/15,79.72
4/21/15,79.16
4/22/15,78.68
4/23/15,80.58
4/24/15,80.9
4/25/15,81.23
4/26/15,80.9
4/27/15,80.66
4/28/15,80.47
4/29/15,80.15
4/30/15,78.71
5/1/15,79.2
5/2/15,79.03
5/3/15,77.99
5/4/15,77.97
5/5/15,78.43
5/6/15,79.38
5/7/15,78.48
5/8/15,78.38
5/9/15,76.96
5/10/15,77.32
5/11/15,77.23
5/12/15,77.27
5/13/15,76.63
5/14/15,77.02
5/15/15,76.73
5/16/15,77.02
5/17/15,78.15
5/18/15,77.64
5/19/15,77.91
5/20/15,77.59
5/21/15,76.37
5/22/15,76.17
5/23/15,76.02
5/24/15,73.83
5/25/15,74.39
5/26/15,74.99
5/27/15,74.8
5/28/15,74.31
5/29/15,75.44
5/30/15,73.96
5/31/15,74.18
6/1/15,75.97
6/2/15,76.98
6/3/15,77.26
6/4/15,77.36
6/5/15,78.25
6/6/15,77.7
6/7/15,77.83
6/8/15,76.6
6/9/15,76.93
6/10/15,74.62
6/11/15,74.02
6/12/15,73.9
6/13/15,74.59
6/14/15,77
6/15/15,72.64
6/16/15,72.61
6/17/15,72.57
6/18/15,72.22
6/19/15,70.7
6/20/15,70.93
6/21/15,71.37
6/22/15,72.55
6/23/15,72.14
6/24/15,72.27
6/25/15,72.3
6/26/15,71.85
6/27/15,72.94
6/28/15,72.38
6/29/15,71.91
6/30/15,70
7/1/15,69.33
7/2/15,66.69
7/3/15,66.56
7/4/15,69.92
7/5/15,71.11
7/6/15,71.58
7/7/15,70.66
7/8/15,69.09
7/9/15,70.92
7/10/15,71.07
7/11/15,70.02
7/12/15,72.42
7/13/15,71.19
7/14/15,72.27
7/15/15,73.01
7/16/15,72.99
7/17/15,72.24
7/18/15,72.79
7/19/15,72.16
7/20/15,69.68
7/21/15,70.22
7/22/15,68.05
7/23/15,67.72
7/24/15,68.2
7/25/15,68.5
7/26/15,66.17
7/27/15,65.44
7/28/15,68.2
7/29/15,70.11
7/30/15,71.46
7/31/15,72.76
8/1/15,71.91
8/2/15,74.17
8/3/15,76.56
8/4/15,76.47
8/5/15,76.41
8/6/15,75.28
8/7/15,74.17
8/8/15,74.84
8/9/15,73.83
8/10/15,73.38
8/11/15,74.89
8/12/15,73.85
8/13/15,76.87
8/14/15,75.3
8/15/15,76.61
8/16/15,77.99
8/17/15,76.89
8/18/15,76.98
8/19/15,76.78
8/20/15,77.46
8/21/15,76.71
8/22/15,77.02
8/23/15,76.72
8/24/15,76.68
8/25/15,75.76
8/26/15,76.52
8/27/15,75.46
8/28/15,74.52
8/29/15,72.74
8/30/15,73.72
8/31/15,72.77
9/1/15,72.23
9/2/15,72.57
9/3/15,72.31
9/4/15,72.4
9/5/15,70.98
9/6/15,71.84
9/7/15,71.48
9/8/15,70.91
9/9/15,72.26
9/10/15,71.69
9/11/15,68.78
9/12/15,71.04
9/13/15,69.5
9/14/15,69.58
9/15/15,68.02
9/16/15,68.23
9/17/15,66.85
9/18/15,66.43
9/19/15,66.62
9/20/15,67.16
9/21/15,66.03
9/22/15,65.11
9/23/15,65.17
9/24/15,68.49
