Date,Close
3/3/15,83.37
3/4/15,82.58
3/5/15,83.57
3/6/15,82.59
3/7/15,82.88
3/8/15,82.07
3/9/15,80.69
3/10/15,81.9
3/11/15,81.9
3/12/15,83.29
3/13/15,82.62
3/14/15,82.53
3/15/15,81.52
3/16/15,83.24
3/17/15,83.31
3/18/15,83.05
3/19/15,81.32
3/20/15,81.89
3/21/15,81.35
3/22/15,82.53
3/23/15,82.25
3/24/15,80.71
3/25/15,80.73
3/26/15,80.99
3/27/15,80.5
3/28/15,81.03
3/29/15,80.84
3/30/15,80.65
3/31/15,80.29
4/1/15,80.15
4/2/15,79.74
4/3/15,79.24
4/4/15,77.88
4/5/15,78.14
4/6/15,78.03
4/7/15,78.43
4/8/15,79.18
4/9/15,79.84
4/10/15,79.37
4/11/15,79.1
4/12/15,77.88
4/13/15,78.05
4/14/15,78.6
4/15/15,79.18
4/16/15,78.13
4/17/15,77.65
4/18/15,78.03
4/19/15,78.53
4/20/15,78.1
4/21/15,78.96
4/22/15,78.16
4/23/15,78.72
4/24/15,79.24
4/25/15,79.92
4/26/15,76.43
4/27/15,75.9
4/28/15,76.11
4/29/15,75.86
4/30/15,74.9
5/1/15,75.19
5/2/15,74.84
5/3/15,74.27
5/4/15,74.73
5/5/15,74.53
5/6/15,74.89
5/7/15,74.15
5/8/15,73.06
5/9/15,72.61
5/10/15,72.47
5/11/15,72.93
5/12/15,72.94
5/13/15,72.43
5/14/15,71.93
5/15/15,72.35
5/16/15,72.73
5/17/15,72.98
5/18/15,72.74
5/19/15,72.79
5/20/15,72.57
5/21/15,72.38
5/22/15,71.86
5/23/15,72.12
5/24/15,71.42
5/25/15,70.93
5/26/15,71.88
5/27/15,71.86
5/28/15,72.53
5/29/15,73.79
5/30/15,73.06
5/31/15,72.78
6/1/15,73.12
6/2/15,73.88
6/3/15,73.79
6/4/15,73.65
6/5/15,73.83
6/6/15,73.39
6/7/15,73.1
6/8/15,72.74
6/9/15,73.16
6/10/15,72.51
6/11/15,71.58
6/12/15,71.38
6/13/15,72.1
6/14/15,72.23
6/15/15,72.16
6/16/15,71.98
6/17/15,72.18
6/18/15,72.25
6/19/15,73.51
6/20/15,72.79
6/21/15,71.25
6/22/15,71.48
6/23/15,71.93
6/24/15,72.58
6/25/15,72.11
6/26/15,72.38
6/27/15,71.91
6/28/15,69.48
6/29/15,68.57
6/30/15,68.43
7/1/15,66.54
7/2/15,63.95
7/3/15,63.1
7/4/15,64.83
7/5/15,66.08
7/6/15,64.94
7/7/15,64.73
7/8/15,63.82
7/9/15,64.44
7/10/15,64.86
7/11/15,63.89
7/12/15,66.38
7/13/15,65.12
7/14/15,64.12
7/15/15,64.65
7/16/15,64.28
7/17/15,64.32
7/18/15,64.69
7/19/15,64.47
7/20/15,63.34
7/21/15,63.72
7/22/15,63.59
7/23/15,63.72
7/24/15,63.83
7/25/15,63.78
7/26/15,63.66
7/27/15,63.78
7/28/15,64.84
7/29/15,64.27
7/30/15,64.98
7/31/15,65.87
8/1/15,65.68
8/2/15,66.36
8/3/15,66.88
8/4/15,66.69
8/5/15,66.93
8/6/15,66.73
8/7/15,60.03
8/8/15,59.33
8/9/15,58.89
8/10/15,58.85
8/11/15,58.75
8/12/15,58.64
8/13/15,58.9
8/14/15,58.3
8/15/15,58.02
8/16/15,57.48
8/17/15,57.64
8/18/15,57.96
8/19/15,57.24
8/20/15,57.61
8/21/15,58.11
8/22/15,58.37
8/23/15,58.61
8/24/15,58.78
8/25/15,58.49
8/26/15,58.68
8/27/15,57.58
8/28/15,56.95
